Wall time,Step,Value
1764129979.8343892,5,17.87095069885254
1764130230.7549665,11,18.882383346557617
1764130478.0342362,17,18.977781295776367
1764130728.332078,23,18.822559356689453
1764130976.358311,29,20.45650291442871
1764131225.5635183,35,20.384876251220703
1764131474.7487903,41,21.00402069091797
1764131721.6374357,47,20.963430404663086
1764132004.3513775,53,21.096677780151367
1764132264.9155655,59,21.233570098876953
1764132513.1525588,65,21.998863220214844
1764132762.3176727,71,21.926807403564453
1764133011.1197677,77,22.039941787719727
1764133262.6323295,83,23.880756378173828
1764133510.9322102,89,24.513521194458008
1764133759.764339,95,23.56813621520996
1764134009.937774,101,23.608707427978516
1764134258.9308698,107,24.284351348876953
1764134506.3143344,113,24.751018524169922
1764134755.962668,119,23.312074661254883
1764135003.2298248,125,24.312467575073242
1764135253.7359698,131,24.519392013549805
1764135503.9390864,137,25.55970573425293
1764135754.7361376,143,21.963645935058594
1764136002.3335133,149,25.315601348876953
1764136250.4283051,155,25.97268295288086
1764136499.3492527,161,26.41515350341797
1764136748.7254117,167,26.360132217407227
1764136997.0309618,173,25.745662689208984
1764137245.4326658,179,25.551210403442383
1764137492.4311714,185,25.896793365478516
1764137740.829949,191,26.394311904907227
1764137991.137249,197,26.13069725036621
1764138236.7587252,203,26.0943603515625
1764138484.8286197,209,23.114421844482422
1764138731.0493503,215,25.848787307739258
1764138976.535368,221,25.480724334716797
1764139225.562369,227,26.195018768310547
1764139473.633741,233,25.857898712158203
1764139720.0298717,239,25.799318313598633
1764139969.9198878,245,27.46880340576172
1764140217.4319708,251,26.991397857666016
1764140466.8338923,257,25.238256454467773
1764140712.43419,263,26.164752960205078
1764140957.8364677,269,25.499122619628906
1764141206.2079399,275,26.73760414123535
1764141456.6640146,281,23.03290367126465
1764141703.0297008,287,25.95610809326172
1764141952.5677905,293,25.75645637512207
1764142198.5173254,299,26.35083770751953
1764142445.024173,305,24.495683670043945
1764142691.8074436,311,24.400463104248047
1764142939.108811,317,25.52818489074707
1764143186.0359204,323,26.945560455322266
1764143433.6233344,329,26.937816619873047
1764143684.4312644,335,27.08454132080078
1764143933.1309595,341,26.25218391418457
1764144181.1247334,347,27.4658203125
1764144431.605847,353,26.942867279052734
1764144680.0531013,359,26.81297492980957
1764144927.9405222,365,28.55353546142578
1764145178.0257967,371,28.143184661865234
1764145426.8243823,377,27.674577713012695
1764145677.0715635,383,28.47344207763672
1764145926.1737235,389,27.854963302612305
1764146172.3055735,395,28.854907989501953
1764146421.675709,401,28.819232940673828
1764146671.3116157,407,26.27721405029297
1764146920.0145607,413,28.217205047607422
1764147165.330732,419,28.37162208557129
1764147411.232911,425,26.943254470825195
1764147658.4400175,431,27.735271453857422
1764147905.9322233,437,27.970794677734375
1764148152.0289333,443,28.20012664794922
1764148398.9278276,449,28.68470001220703
1764148647.809988,455,27.890405654907227
1764148894.431296,461,27.22937774658203
1764149140.3340452,467,27.869657516479492
1764149387.7625222,473,28.089500427246094
1764149634.1316702,479,28.005388259887695
1764149880.3274248,485,28.778820037841797
1764150129.2225332,491,27.84011459350586
1764150383.1290727,497,27.596269607543945
1764150631.4294965,503,28.098583221435547
1764150877.7739933,509,27.07017707824707
